epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.838,1.42238,1.7659,1.53493,0.83513,0.28638,0.29918,0.17603,1.86049,2.84399,2.34576,0.00331768,0.00331768,0.0701408
2,83.3346,1.37881,1.3798,1.49401,0.48962,0.21891,0.26334,0.1557,2.07868,6.90004,2.29769,0.00660712,0.00660712,0.0400969
3,121.828,1.29959,1.26547,1.43874,0.83968,0.36945,0.42725,0.28074,1.58342,1.97477,1.79471,0.00985256,0.00985256,0.0100091
4,160.097,1.2618,1.21509,1.413,0.89945,0.46711,0.52326,0.30169,1.42706,1.41675,1.69854,0.009802,0.009802,0.009802
5,198.829,1.21885,1.16816,1.39136,0.9172,0.47321,0.53972,0.30744,1.45191,1.50883,1.67572,0.009736,0.009736,0.009736
6,237.106,1.16984,1.09049,1.35469,0.79188,0.5208,0.53935,0.31042,1.3323,1.23504,1.61216,0.00967,0.00967,0.00967
7,275.827,1.15754,1.04198,1.34209,0.63745,0.53001,0.52144,0.3251,1.34911,1.08526,1.64633,0.009604,0.009604,0.009604
8,314.597,1.12918,1.01541,1.31617,0.78627,0.56854,0.54395,0.30942,1.54918,1.14391,1.74087,0.009538,0.009538,0.009538
9,353.289,1.13293,0.99142,1.31758,0.59429,0.47969,0.53783,0.34781,1.28991,1.14094,1.58546,0.009472,0.009472,0.009472
10,391.899,1.10056,0.95817,1.30248,0.70876,0.49171,0.59457,0.38523,1.3079,0.98829,1.5752,0.009406,0.009406,0.009406
11,430.474,1.09993,0.95739,1.30649,0.74691,0.53753,0.55352,0.34834,1.32677,1.05661,1.55461,0.00934,0.00934,0.00934
12,469.049,1.0672,0.92815,1.27058,0.49024,0.58116,0.56426,0.37042,1.33769,1.03683,1.59621,0.009274,0.009274,0.009274
13,507.587,1.07402,0.91288,1.28317,0.53301,0.57457,0.59989,0.36892,1.25365,0.95896,1.55483,0.009208,0.009208,0.009208
14,546.125,1.06788,0.91925,1.27774,0.71711,0.57223,0.61251,0.41618,1.19812,0.97839,1.51479,0.009142,0.009142,0.009142
15,584.703,1.04761,0.89538,1.27273,0.92182,0.49284,0.55281,0.38405,1.12322,0.95249,1.44387,0.009076,0.009076,0.009076
16,623.211,1.04154,0.8675,1.25583,0.45334,0.6459,0.56335,0.37418,1.18441,0.94354,1.49072,0.00901,0.00901,0.00901
17,661.755,1.03439,0.85799,1.25809,0.59084,0.65541,0.60116,0.40128,1.20979,0.84748,1.47517,0.008944,0.008944,0.008944
18,700.247,1.02195,0.84046,1.25043,0.67864,0.57058,0.62023,0.40032,1.20647,0.89879,1.50709,0.008878,0.008878,0.008878
19,738.757,1.00142,0.83062,1.23135,0.62177,0.65615,0.66265,0.4102,1.3012,0.93185,1.53182,0.008812,0.008812,0.008812
20,777.296,0.9893,0.81068,1.23353,0.90936,0.5139,0.6072,0.40508,1.16239,0.89366,1.43679,0.008746,0.008746,0.008746
21,815.756,1.01614,0.83363,1.25169,0.59936,0.63049,0.62558,0.43825,1.09987,0.89785,1.42731,0.00868,0.00868,0.00868
22,854.299,1.01009,0.81498,1.23554,0.57746,0.5784,0.61514,0.38276,1.26053,0.8653,1.51217,0.008614,0.008614,0.008614
23,892.658,0.97037,0.80087,1.20848,0.71348,0.63402,0.67314,0.43003,1.15129,0.81952,1.43736,0.008548,0.008548,0.008548
24,931.153,0.96941,0.7941,1.22034,0.60543,0.66154,0.66192,0.43494,1.09109,0.79764,1.43222,0.008482,0.008482,0.008482
25,969.555,0.96525,0.7884,1.20875,0.74899,0.53821,0.65524,0.45083,1.08539,0.83951,1.43803,0.008416,0.008416,0.008416
26,1008.07,0.94858,0.7761,1.20033,0.61162,0.65954,0.66547,0.43592,1.13127,0.82244,1.44382,0.00835,0.00835,0.00835
27,1046.58,0.95468,0.76941,1.21217,0.68316,0.62879,0.67172,0.44476,1.12376,0.80336,1.42489,0.008284,0.008284,0.008284
28,1085.11,0.93103,0.76599,1.19048,0.78388,0.67479,0.68599,0.47159,1.07338,0.82768,1.41458,0.008218,0.008218,0.008218
29,1123.64,0.92771,0.7568,1.18726,0.65492,0.60518,0.67704,0.46942,1.08213,0.78425,1.42547,0.008152,0.008152,0.008152
30,1162.01,0.93025,0.75278,1.19059,0.6091,0.74446,0.68326,0.44052,1.1959,0.79,1.47784,0.008086,0.008086,0.008086
31,1200.56,0.91703,0.73255,1.18358,0.66898,0.65348,0.69081,0.47533,1.09415,0.76887,1.42999,0.00802,0.00802,0.00802
32,1239.12,0.92644,0.73484,1.19024,0.71136,0.65142,0.66432,0.47457,1.03756,0.73015,1.35852,0.007954,0.007954,0.007954
33,1277.61,0.92136,0.72946,1.18648,0.69308,0.76242,0.71328,0.48682,1.16817,0.79466,1.43405,0.007888,0.007888,0.007888
34,1316.13,0.91854,0.71929,1.18598,0.72643,0.67148,0.66042,0.44816,1.0656,0.73373,1.40163,0.007822,0.007822,0.007822
35,1354.59,0.92074,0.7339,1.18502,0.67404,0.79104,0.74936,0.50235,1.17105,0.78311,1.48425,0.007756,0.007756,0.007756
36,1393.21,0.91883,0.73786,1.19648,0.77662,0.78301,0.75469,0.53901,0.99046,0.73973,1.34728,0.00769,0.00769,0.00769
37,1431.68,0.88906,0.69951,1.16346,0.58935,0.63904,0.68474,0.46784,1.09026,0.7771,1.45351,0.007624,0.007624,0.007624
38,1470.1,0.89583,0.71028,1.17303,0.72094,0.66362,0.68607,0.48906,1.03252,0.75387,1.38755,0.007558,0.007558,0.007558
39,1508.74,0.89124,0.69535,1.17424,0.64685,0.64363,0.67625,0.4495,1.03855,0.73944,1.36683,0.007492,0.007492,0.007492
40,1547.2,0.88315,0.69412,1.16776,0.71166,0.6709,0.6802,0.45988,1.01544,0.71315,1.33509,0.007426,0.007426,0.007426
41,1585.76,0.87914,0.69138,1.15449,0.83331,0.67162,0.70423,0.49837,1.05128,0.74321,1.38671,0.00736,0.00736,0.00736
42,1624.52,0.88141,0.69069,1.16081,0.73596,0.68976,0.76165,0.49786,1.07187,0.69328,1.40257,0.007294,0.007294,0.007294
43,1662.95,0.87228,0.66677,1.15677,0.78421,0.69247,0.67697,0.44992,1.05216,0.73864,1.40223,0.007228,0.007228,0.007228
44,1701.38,0.8715,0.6866,1.15653,0.8306,0.62773,0.68001,0.4624,1.05082,0.7123,1.37729,0.007162,0.007162,0.007162
45,1740.09,0.8587,0.66672,1.14175,0.90832,0.64273,0.70825,0.47893,1.00624,0.72261,1.37538,0.007096,0.007096,0.007096
