epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.8142,1.168,2.5358,1.45086,0.56304,0.10739,0.32071,0.14705,1.75101,2.87028,2.29262,0.000543844,0.000543844,0.000543844
2,48.5128,1.06793,1.60607,1.3282,0.25013,0.2619,0.20595,0.09274,1.93932,2.68317,2.20997,0.00108863,0.00108863,0.00108863
3,69.9184,1.02603,1.41878,1.29925,0.40393,0.30952,0.30537,0.12666,1.88354,2.73188,2.34254,0.0016224,0.0016224,0.0016224
4,91.2597,1.00945,1.29199,1.28244,0.34874,0.44048,0.34809,0.13884,2.15378,2.57852,2.50277,0.00161749,0.00161749,0.00161749
5,112.592,1.0037,1.19319,1.27944,0.63927,0.39286,0.46497,0.21385,1.82138,2.40627,2.29241,0.00160099,0.00160099,0.00160099
6,133.972,0.98173,1.10737,1.26486,0.41591,0.39286,0.35855,0.19792,1.69105,2.20928,2.06424,0.00158448,0.00158448,0.00158448
7,155.372,0.92038,1.01864,1.22157,0.42656,0.42857,0.39661,0.18316,1.99363,2.04782,2.43465,0.00156798,0.00156798,0.00156798
8,176.827,0.93942,1.02525,1.2378,0.54186,0.53571,0.50983,0.24959,1.75967,1.61889,2.13328,0.00155148,0.00155148,0.00155148
9,198.18,0.95462,1.00166,1.26162,0.61592,0.45238,0.49618,0.24086,1.78627,1.85787,2.10797,0.00153497,0.00153497,0.00153497
10,219.413,0.89567,0.92145,1.20401,0.62161,0.55952,0.53173,0.27474,1.59693,1.63375,1.99708,0.00151847,0.00151847,0.00151847
11,240.807,0.8984,0.90665,1.20826,0.50877,0.60417,0.52618,0.28919,1.52725,1.65154,1.81303,0.00150197,0.00150197,0.00150197
12,262.115,0.86659,0.85954,1.18593,0.6636,0.54016,0.56183,0.29278,1.67692,1.51823,2.01357,0.00148546,0.00148546,0.00148546
13,283.425,0.88075,0.88001,1.20212,0.5825,0.59797,0.58432,0.31246,1.6854,1.54625,1.97394,0.00146896,0.00146896,0.00146896
14,304.833,0.86397,0.8514,1.18132,0.61478,0.64286,0.55499,0.26449,1.77777,1.6001,2.06793,0.00145246,0.00145246,0.00145246
15,326.07,0.8351,0.83419,1.16498,0.6899,0.61905,0.65036,0.36714,1.52194,1.19122,1.85036,0.00143595,0.00143595,0.00143595
16,347.455,0.8621,0.83765,1.19341,0.66888,0.5119,0.55761,0.31483,1.63846,1.63648,2.01186,0.00141945,0.00141945,0.00141945
17,368.73,0.82632,0.81072,1.16608,0.70956,0.57143,0.6217,0.36351,1.54934,1.35942,1.83288,0.00140295,0.00140295,0.00140295
18,390.018,0.82733,0.80419,1.17534,0.58954,0.55952,0.54393,0.31847,1.59991,1.57464,1.9889,0.00138644,0.00138644,0.00138644
19,411.208,0.80453,0.77831,1.15458,0.65882,0.65476,0.57875,0.31886,1.64222,1.39824,2.07706,0.00136994,0.00136994,0.00136994
20,432.402,0.82925,0.8049,1.17019,0.68319,0.63095,0.60646,0.3815,1.54977,1.22996,1.8534,0.00135344,0.00135344,0.00135344
21,453.699,0.8128,0.76116,1.14807,0.67825,0.66667,0.67282,0.37997,1.56202,1.22559,1.80201,0.00133693,0.00133693,0.00133693
22,474.92,0.78578,0.7491,1.13886,0.61555,0.64286,0.65501,0.36528,1.52582,1.26643,1.86644,0.00132043,0.00132043,0.00132043
23,496.1,0.79935,0.75467,1.15165,0.64523,0.63095,0.59906,0.36323,1.42897,1.33792,1.78699,0.00130393,0.00130393,0.00130393
24,517.371,0.78972,0.74301,1.14307,0.74124,0.63095,0.65068,0.38172,1.52541,1.16105,1.72866,0.00128742,0.00128742,0.00128742
25,538.724,0.76958,0.74255,1.13635,0.64234,0.6842,0.67324,0.42374,1.55708,1.1442,1.84139,0.00127092,0.00127092,0.00127092
26,559.996,0.78204,0.7585,1.13697,0.6667,0.60714,0.6186,0.36826,1.64911,1.4178,1.93052,0.00125442,0.00125442,0.00125442
27,581.191,0.77524,0.75107,1.14285,0.63946,0.69048,0.6596,0.38868,1.52873,1.1902,1.86383,0.00123791,0.00123791,0.00123791
28,602.509,0.76268,0.74044,1.12922,0.66095,0.65476,0.65771,0.42031,1.40601,1.18723,1.71796,0.00122141,0.00122141,0.00122141
29,623.626,0.76018,0.72801,1.13169,0.603,0.72619,0.66862,0.38814,1.58604,1.20906,1.88021,0.00120491,0.00120491,0.00120491
30,644.882,0.76523,0.71951,1.12909,0.70402,0.70238,0.725,0.41615,1.52186,1.08299,1.77009,0.0011884,0.0011884,0.0011884
31,666.06,0.76325,0.73945,1.13281,0.71107,0.67857,0.65868,0.3916,1.44973,1.16862,1.78035,0.0011719,0.0011719,0.0011719
32,687.293,0.71709,0.67391,1.09028,0.68243,0.75,0.69906,0.43851,1.40821,1.13793,1.72565,0.0011554,0.0011554,0.0011554
33,708.547,0.7645,0.71253,1.13163,0.74215,0.64286,0.70755,0.43212,1.42656,1.22245,1.72993,0.00113889,0.00113889,0.00113889
34,729.679,0.74063,0.68938,1.12147,0.6229,0.69048,0.63832,0.3852,1.49639,1.33478,1.77139,0.00112239,0.00112239,0.00112239
35,750.906,0.74495,0.70439,1.11514,0.73386,0.7222,0.71316,0.44906,1.41562,1.01624,1.67591,0.00110589,0.00110589,0.00110589
36,772.189,0.72411,0.69961,1.11011,0.70309,0.72619,0.69587,0.395,1.48506,1.10457,1.79077,0.00108938,0.00108938,0.00108938
37,793.462,0.73143,0.69559,1.10207,0.66383,0.67857,0.65556,0.38796,1.4576,1.21165,1.78832,0.00107288,0.00107288,0.00107288
38,814.736,0.7191,0.68008,1.10067,0.67115,0.70461,0.68404,0.40834,1.44232,1.15432,1.76171,0.00105638,0.00105638,0.00105638
39,835.928,0.72857,0.69493,1.11323,0.68295,0.72619,0.69791,0.42598,1.37573,1.06315,1.68713,0.00103987,0.00103987,0.00103987
40,857.282,0.72009,0.6789,1.09847,0.70195,0.75705,0.69233,0.44001,1.52275,1.08073,1.84796,0.00102337,0.00102337,0.00102337
41,878.512,0.70547,0.671,1.09419,0.66458,0.67857,0.68782,0.43672,1.45915,1.12721,1.86043,0.00100687,0.00100687,0.00100687
42,899.742,0.70732,0.65016,1.08792,0.69264,0.70238,0.70226,0.42271,1.43373,1.12502,1.71456,0.000990365,0.000990365,0.000990365
43,921.05,0.68481,0.66001,1.07914,0.66162,0.65177,0.64671,0.39859,1.5104,1.20331,1.85035,0.000973861,0.000973861,0.000973861
44,942.203,0.70672,0.66198,1.08287,0.75295,0.7381,0.71901,0.45485,1.47246,1.03763,1.73612,0.000957358,0.000957358,0.000957358
45,963.46,0.69066,0.65722,1.08292,0.58634,0.75,0.69398,0.44597,1.40688,1.10349,1.66212,0.000940855,0.000940855,0.000940855
46,984.786,0.69309,0.65547,1.07775,0.72115,0.67857,0.71176,0.45295,1.43401,1.16648,1.76114,0.000924352,0.000924352,0.000924352
47,1006.02,0.70616,0.68799,1.09466,0.74055,0.63095,0.71696,0.45066,1.40659,1.12713,1.71745,0.000907848,0.000907848,0.000907848
48,1027.26,0.65557,0.62895,1.06005,0.64098,0.76518,0.72423,0.45755,1.38373,1.08292,1.70044,0.000891345,0.000891345,0.000891345
49,1048.66,0.6951,0.65112,1.08698,0.63839,0.7381,0.70978,0.43348,1.4341,1.06381,1.7753,0.000874842,0.000874842,0.000874842
50,1070.07,0.67808,0.64433,1.07799,0.7222,0.74282,0.76064,0.45952,1.3832,0.97995,1.74644,0.000858338,0.000858338,0.000858338
51,1091.33,0.68701,0.62976,1.08066,0.68745,0.71429,0.70589,0.44254,1.40837,1.0895,1.74141,0.000841835,0.000841835,0.000841835
52,1112.55,0.68455,0.6434,1.07706,0.69952,0.83144,0.73156,0.44765,1.42377,1.05947,1.73261,0.000825332,0.000825332,0.000825332
